timestamp,pos_x,pos_y,pos_z,b827eb4521b4,000000000102,b827eb917e19,b827ebf7d096,b827ebfd7811,000000000101,000000000302,000000000301,000000000402,000000000201,000000000202,000000000401
1581252455.843848,5.855933404899999,12.7646815744,1.582578557,-71,-65,-84,-200,-88,-200,-81,-74,-79,-68,-72,-64
1581252456.294343,5.90751350588889,12.744402617666667,1.5770432193333335,-200,-64,-80,-200,-88,-200,-81,-73,-79,-68,-75,-65
1581252456.7514048,5.914000000000001,12.995068780499999,1.6248206341666667,-73,-65,-71,-84,-89,-77,-77,-70,-75,-69,-69,-81
1581252457.2051597,5.9012759289000005,12.9910293483,1.6464774907000002,-70,-200,-74,-85,-93,-80,-200,-78,-75,-68,-64,-73
1581252457.6610134,5.918683248600001,13.106398515700002,1.7494448262,-74,-64,-71,-77,-83,-75,-83,-72,-91,-200,-70,-200
1581252458.120278,5.929652425428572,13.022024626428573,1.7369326497142856,-81,-64,-200,-79,-200,-76,-70,-200,-200,-68,-200,-69
1581252458.5762057,5.9839892783333335,13.049809839888889,1.7698987702222224,-200,-68,-72,-200,-84,-81,-200,-84,-78,-74,-73,-65
1581252459.0345526,6.060960139083332,13.04686460725,1.7118673544999998,-72,-200,-79,-73,-80,-81,-85,-77,-75,-65,-77,-79
1581252459.4864647,6.170537876,13.09003571681818,1.7063603895454547,-72,-65,-74,-78,-77,-81,-200,-71,-80,-72,-72,-82
1581252459.9383733,6.297007068363637,13.15533254809091,1.7246650959090908,-78,-68,-70,-71,-82,-76,-200,-80,-74,-72,-77,-80
1581252460.3899834,6.443428306818183,13.148598288818182,1.6990626736363637,-75,-79,-59,-76,-86,-80,-75,-68,-75,-200,-61,-200
1581252460.8429859,6.5768352944999995,13.110596941250002,1.6948207061666665,-73,-82,-55,-77,-81,-77,-75,-76,-78,-69,-60,-71
1581252461.2960806,6.7370256787499985,13.062860811083334,1.6821774148333333,-70,-78,-59,-82,-77,-77,-75,-70,-83,-68,-66,-76
1581252461.747527,6.913491218,13.079921668166667,1.7201032215833332,-68,-78,-62,-83,-85,-67,-77,-68,-86,-72,-72,-85
1581252462.1995687,7.089640189375,13.02995227575,1.677035793,-70,-73,-200,-90,-83,-74,-69,-200,-200,-74,-200,-69
1581252462.6543603,7.285313440666666,13.025946263666667,1.738465672111111,-200,-78,-65,-200,-79,-200,-68,-68,-77,-74,-62,-74
1581252463.1066167,7.495714263090909,13.011245899090909,1.7729929698181819,-68,-70,-57,-80,-85,-77,-200,-71,-79,-78,-59,-70
1581252463.5578535,7.712509519166667,13.024673346666667,1.7884488980000002,-67,-82,-60,-71,-85,-73,-68,-69,-82,-66,-70,-72
1581252464.0135384,7.9383627695454555,13.048391838545454,1.8248596973636362,-69,-200,-65,-72,-82,-78,-74,-70,-80,-65,-66,-71
1581252464.469194,8.143361731923077,13.030713184230766,1.8167493574615388,-69,-69,-59,-73,-79,-77,-80,-76,-87,-68,-66,-82
1581252464.9204032,8.364523759454544,13.032999999999998,1.8180000000000005,-72,-80,-61,-71,-86,-76,-70,-90,-77,-66,-65,-200
1581252465.3741262,8.579789766583334,13.032000000000002,1.8189085924166666,-67,-71,-64,-78,-84,-74,-73,-70,-81,-71,-63,-77
1581252465.8296676,8.783247805875,13.028,1.821,-75,-66,-200,-70,-90,-73,-68,-200,-200,-72,-200,-75
1581252466.2820656,8.986679438,13.025934295727273,1.8210000000000002,-66,-78,-74,-77,-200,-83,-70,-74,-77,-69,-73,-71
1581252466.7350292,9.190833398111112,13.022,1.8203011684444443,-200,-72,-62,-200,-79,-200,-69,-70,-79,-69,-69,-70
1581252467.1906164,9.388860472750002,12.998356466583331,1.826285610166667,-71,-74,-69,-77,-94,-71,-72,-75,-77,-72,-81,-68
1581252467.6481938,9.590604996307693,12.991061667384615,1.8229998780769232,-71,-71,-63,-69,-80,-77,-71,-67,-78,-68,-71,-73
1581252468.0980232,9.788690399636362,12.998846055090912,1.824615351636364,-71,-78,-66,-74,-77,-78,-75,-69,-75,-68,-200,-76
1581252468.5567896,10.004304429,13.010086961916665,1.8247282595833332,-68,-78,-68,-65,-72,-78,-74,-65,-90,-73,-69,-78
1581252469.0129454,10.227555005,13.017827142916667,1.8259135714166668,-70,-76,-69,-65,-200,-75,-66,-75,-78,-72,-71,-72
1581252469.463065,10.459501570499999,13.0250597484,1.828,-78,-72,-72,-66,-200,-200,-65,-80,-76,-75,-66,-75
