timestamp,pos_x,pos_y,pos_z,b827ebf7d096,b827eb917e19,b827ebfd7811,b827eb4521b4,000000000302,000000000401,000000000402,000000000202,000000000301,000000000201,000000000101,000000000102
1568716651.5043848,18.13,15.33,1.85,100,100,100,100,-79,-78,100,100,100,-79,100,100
1568717012.741235,18.13,15.33,1.85,100,100,100,100,100,100,-77,100,100,100,-82,-76
1568717015.4682927,18.13,15.33,1.85,100,100,100,100,100,-77,-81,100,-79,100,100,100
1568717055.940117,18.13,15.33,1.85,100,100,100,100,-79,100,100,100,100,-76,-83,100
1568717090.941931,18.13,15.33,1.85,100,100,100,100,100,100,100,100,-88,100,-86,-74
1568717228.766487,18.13,15.33,1.85,100,100,100,100,-79,-78,100,-87,100,100,100,100
1568717287.45824,18.13,15.33,1.85,100,100,100,100,100,100,100,100,-79,-76,-79,100
1568717426.696757,18.13,15.33,1.85,100,100,100,100,100,100,-77,100,100,-76,100,-76
1568717436.243666,18.13,15.33,1.85,100,100,100,100,100,100,100,100,100,-77,-83,-76
1568717510.354285,18.13,15.33,1.85,100,100,100,100,100,-77,-84,100,100,-77,100,100
1568717548.575102,18.13,15.33,1.85,100,100,100,100,100,-77,100,100,-79,-77,100,100
1568718231.367053,18.13,15.33,1.85,100,100,100,100,100,-78,-84,100,-89,100,100,100
1568718296.797461,18.13,15.33,1.85,100,100,100,100,-80,100,-84,100,100,100,100,-74
1568712078.37547,12.95,10.95,1.85,100,100,100,100,100,-59,-83,100,100,-77,100,100
1568712113.858899,12.95,10.95,1.85,100,100,100,100,-75,-59,100,100,100,100,-74,100
1568712195.238949,12.95,10.95,1.85,100,100,100,100,100,100,-82,100,-76,-77,100,100
1568712232.973349,12.95,10.95,1.85,100,100,100,100,100,100,100,100,-76,-77,100,-78
1568712268.922696,12.95,10.95,1.85,100,100,100,100,100,-60,100,100,-73,100,100,-77
1568712432.615049,12.95,10.95,1.85,100,100,100,100,100,100,-78,100,-76,-77,100,100
1568712452.659629,12.95,10.95,1.85,100,100,100,100,-70,100,100,100,-73,100,-80,100
1568712757.884509,12.95,10.95,1.85,100,100,100,100,100,-60,100,-83,100,-77,100,100
1568712989.37114,12.95,10.95,1.85,100,100,100,100,100,-60,100,100,100,-78,-72,100
1568712991.6637387,12.95,10.95,1.85,100,100,100,100,100,-60,-78,100,100,100,-74,100
1568713025.286695,12.95,10.95,1.85,100,100,100,100,-64,100,100,100,-70,100,100,-77
1568713039.394997,12.95,10.95,1.85,100,100,100,100,-70,100,-82,100,-73,100,100,100
1568713050.771083,12.95,10.95,1.85,100,100,100,100,100,100,-82,100,-76,100,100,-78
1568713077.613334,12.95,10.95,1.85,100,100,100,100,100,-60,100,100,100,-76,-72,100
1568713099.896048,12.95,10.95,1.85,100,100,100,100,-71,100,100,100,-76,-76,100,100
1568713153.1158807,12.95,10.95,1.85,100,100,100,100,-70,100,100,100,-75,-74,100,100
1568713258.65572,12.95,10.95,1.85,100,100,100,100,-71,-64,100,100,100,-75,100,100
1568713310.043878,12.95,10.95,1.85,100,100,100,100,100,100,-82,100,-73,-76,100,100
1568713365.607962,12.95,10.95,1.85,100,100,100,100,100,-60,100,100,-76,100,100,-77
1568713395.170865,12.95,10.95,1.85,100,100,100,100,100,-59,100,100,-79,100,-75,100
1568713532.035277,12.95,10.95,1.85,100,100,100,100,100,-60,100,100,100,100,-72,-77
1568713550.66844,12.95,10.95,1.85,100,100,100,100,100,-60,100,100,100,100,-72,-78
1568713570.68809,12.95,10.95,1.85,100,100,100,100,100,-64,-82,100,100,100,100,-77
1568713615.677195,12.95,10.95,1.85,100,100,100,100,100,-67,100,100,100,-74,100,-78
1568713627.48388,12.95,10.95,1.85,100,100,100,100,100,100,-82,100,-70,100,100,-77
1568713657.960178,12.95,10.95,1.85,100,100,100,100,-75,-59,100,100,100,100,-74,100
1568713830.0488207,12.95,10.95,1.85,100,100,100,100,100,-59,-83,100,100,-79,100,100
1568994165.422444,7.78,0.14,1.85,100,100,100,100,-75,-69,100,100,100,100,100,-76
1568994215.953905,7.78,0.14,1.85,100,100,100,100,100,100,100,-74,100,-77,100,-75
1568994333.7171247,7.78,0.14,1.85,100,100,100,100,-74,-68,100,100,100,100,100,-76
1568994350.978075,7.78,0.14,1.85,100,100,100,100,100,-69,100,100,100,-82,-71,100
1568994408.29878,7.78,0.14,1.85,100,100,100,100,100,-71,-73,100,-69,100,100,100
1568994524.2143867,7.78,0.14,1.85,100,100,100,100,100,100,100,-74,100,100,-72,-75
1568994561.994215,7.78,0.14,1.85,100,100,100,100,100,100,100,-74,100,100,-71,-75
1568994600.200649,7.78,0.14,1.85,100,100,100,100,100,-71,-71,-76,100,100,100,100
1568994671.1592968,7.78,0.14,1.85,100,100,100,100,-81,-71,100,100,-69,100,100,100
1568994676.622761,7.78,0.14,1.85,100,100,100,100,100,100,100,-76,-70,100,100,-76
1568994745.341508,7.78,0.14,1.85,100,100,100,100,100,100,100,-73,100,-75,100,-74
1568994768.528538,7.78,0.14,1.85,100,100,100,100,100,100,100,-74,100,-75,100,-75
1568994801.286462,7.78,0.14,1.85,100,100,100,100,100,100,-71,-74,100,100,-71,100
1568994937.787762,7.78,0.14,1.85,100,100,100,100,100,100,100,-73,100,-75,100,-74
1568994971.432657,7.78,0.14,1.85,100,100,100,100,100,100,100,100,100,-82,-71,-75
1568995041.468757,7.78,0.14,1.85,100,100,100,100,100,-71,-71,100,-70,100,100,100
1568995075.62634,7.78,0.14,1.85,100,100,100,100,-82,100,100,100,100,100,-71,-75
1568995088.373227,7.78,0.14,1.85,100,100,100,100,100,-69,100,100,-69,100,100,-75
1568995133.887026,7.78,0.14,1.85,100,100,100,100,-79,-71,100,100,100,100,-70,100
1568995157.5389347,7.78,0.14,1.85,100,100,100,100,100,100,100,-77,100,-78,-65,100
1568995225.758714,7.78,0.14,1.85,100,100,100,100,100,-71,-73,100,100,100,100,-75
1568995280.31765,7.78,0.14,1.85,100,100,100,100,100,-69,100,100,100,100,-72,-75
1568995289.877772,7.78,0.14,1.85,100,100,100,100,100,-71,100,100,100,-77,-71,100
1568995292.1517327,7.78,0.14,1.85,100,100,100,100,100,100,-73,-74,100,100,-65,100
1568995317.650336,7.78,0.14,1.85,100,100,100,100,100,-69,100,100,-68,100,-71,100
1568995319.9376547,7.78,0.14,1.85,100,100,100,100,100,-71,100,100,100,-78,-71,100
1568995327.189242,7.78,0.14,1.85,100,100,100,100,100,-71,100,100,-68,100,100,-74
1568995373.5791447,7.78,0.14,1.85,100,100,100,100,100,100,100,100,-69,100,-71,-76
1568995404.944031,7.78,0.14,1.85,100,100,100,100,100,100,-71,100,100,-76,-65,100
1568995471.301262,7.78,0.14,1.85,100,100,100,100,-79,100,100,100,-70,100,-70,100
1568995530.361636,7.78,0.14,1.85,100,100,100,100,-77,100,100,100,100,100,-71,-76
1568995680.03905,7.78,0.14,1.85,100,100,100,100,-75,100,100,100,100,100,-71,-77
